0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
0.0,1.38,-0.02,17.3,0.0,0.098,-0.232,-4.28,0.102,0.417,1.4,-3.08,0.0,0.098,0.0,49.9,0.0,3.88,3.49,0.0,0.0,0.507,-0.951,0.0,34.8,34.8,-0.528,1.92,0.288,0.662,0.0,0.0,-0.368,1.25,0.018,0.0,-0.274,0.0,0.156,0.141,-0.448,0.0,0.0,-1.34,-0.051,0.738,60.3,0.001,-0.16,-0.265,2.87,1.3,-0.048,-0.136,-0.024,-3.08,2.76,0.0,46.1,49.9
0.0,1.38,-0.02,17.3,0.0,0.098,-0.232,-4.28,0.102,0.417,1.4,-3.08,0.0,0.098,0.0,49.9,0.0,3.88,3.49,0.0,0.0,0.507,-0.951,0.0,34.8,34.8,-0.528,1.92,0.288,0.662,0.0,0.0,-0.368,1.25,0.018,0.0,-0.274,0.0,0.156,0.141,-0.448,0.0,0.0,-1.34,-0.051,0.738,60.3,0.001,-0.16,-0.265,2.87,1.3,-0.048,-0.136,-0.024,-3.08,2.88,0.0,46.1,49.9
0.0,1.38,-0.02,17.3,0.0,0.098,-0.232,-4.28,0.102,0.417,1.4,-3.08,0.0,0.098,0.0,49.9,0.0,3.88,3.49,0.0,0.0,0.507,-0.951,0.0,34.8,34.8,-0.528,1.92,0.288,0.662,0.0,0.0,-0.368,1.0466666666666666,0.018,0.0,-0.274,0.0,0.156,0.141,-0.448,0.0,0.0,-1.34,-0.051,0.738,60.3,0.001,-0.16,-0.265,2.87,1.3,-0.048,-0.136,-0.024,-3.08,2.76,0.0,46.1,49.9
0.0,1.38,-0.02,17.3,0.0,0.098,-0.232,-4.28,0.102,0.417,1.4,-3.08,0.0,0.098,0.0,49.9,0.0,3.88,3.49,0.0,0.0,0.507,-0.951,0.0,34.8,34.8,-0.52,1.92,0.288,0.662,0.0,0.0,-0.368,1.0466666666666666,0.018,0.0,-0.274,0.0,0.156,0.141,-0.448,0.0,0.0,-1.34,-0.051,0.738,60.3,0.001,-0.16,-0.265,2.87,1.3,-0.048,-0.136,-0.024,-3.08,2.76,0.0,46.1,49.9
0.0,1.02,-0.02,10.7,0.0,0.215,-0.208,-3.9,0.087,0.258,-10.933333333333332,-4.05,0.0,0.09,0.0,49.9,0.0,4.61,3.01,0.0,0.0,-1.44,-0.999,0.0,37.8,37.8,-0.52,-0.278,-0.026,0.405,0.0,0.0,-0.235,0.424,0.015,12.879999999999999,-0.267,0.0,0.156,0.126,-0.444,0.0,0.0,-1.33,0.445,0.546,60.3,0.0,-0.164,-0.22,2.78,1.4,-0.048,-0.304,-0.021,-4.05,2.5199999999999996,0.0,40.4,49.9
0.0,1.02,-0.02,10.7,0.0,0.215,-0.208,-3.9,0.087,0.258,-8.346666666666666,-4.05,0.0,0.09,0.0,49.9,0.0,4.61,3.01,0.0,0.0,-1.44,-0.999,0.0,37.8,37.8,-0.52,-0.278,-0.026,0.405,0.0,0.0,-0.235,0.424,0.015,12.879999999999999,-0.267,0.0,0.156,0.126,-0.444,0.0,0.0,-1.33,0.445,0.546,60.3,0.0,-0.164,-0.22,2.78,1.4,-0.048,-0.304,-0.021,-4.05,3.0,0.0,40.4,49.9
0.0,1.02,-0.02,10.7,0.0,0.215,-0.208,-3.9,0.087,0.258,-10.666666666666666,-4.05,0.0,0.09,0.0,49.9,0.0,4.61,3.01,0.0,0.0,-1.44,-0.999,0.0,37.8,37.8,-0.52,-0.278,-0.026,0.405,0.0,0.0,-0.235,0.424,0.015,12.879999999999999,-0.267,0.0,0.156,0.126,-0.444,0.0,0.0,-1.33,0.445,0.546,60.3,0.0,-0.164,-0.22,2.78,1.4,-0.048,-0.304,-0.021,-4.05,2.5199999999999996,0.0,40.4,49.9
0.0,1.02,-0.02,10.7,0.0,0.215,-0.208,-3.9,0.087,0.258,-10.666666666666666,-4.05,0.0,0.09,0.0,49.9,0.0,4.61,3.01,0.0,0.0,-1.44,-0.999,0.0,37.8,37.8,-0.52,-0.278,-0.026,0.405,0.0,0.0,-0.235,0.424,0.015,12.879999999999999,-0.267,0.0,0.156,0.126,-0.444,0.0,0.0,-1.33,0.445,0.546,60.3,0.0,-0.164,-0.22,2.78,1.4,-0.048,-0.304,-0.021,-4.05,2.5199999999999996,0.0,40.4,49.9
0.0,0.4,-0.02,10.7,0.0,0.188,-0.224,-3.62,0.087,0.258,1.92,-4.13,0.0,0.058,0.0,47.2,0.0,3.89,3.61,0.0,0.0,0.561,-0.993,0.0,29.9,29.9,-0.512,-0.415,-0.026,-0.028,0.0,0.0,-0.175,0.608,0.015,7.32,-0.267,0.0,0.156,0.077,-0.477,0.0,0.0,-1.33,0.174,0.582,50.8,0.0,-0.166,-0.16,2.78,0.804,-0.048,0.076,-0.018,-4.13,2.6399999999999997,0.0,41.1,47.2
0.0,0.4,-0.02,10.7,0.0,0.188,-0.224,-3.62,0.087,0.258,1.92,-4.13,0.0,0.058,0.0,47.2,0.0,3.89,3.61,0.0,0.0,0.561,-0.993,0.0,29.9,29.9,-0.512,-0.415,-0.026,-0.028,0.0,0.0,-0.175,0.608,0.015,7.32,-0.267,0.0,0.156,0.077,-0.477,0.0,0.0,-1.33,0.174,0.582,50.8,0.0,-0.166,-0.16,2.78,0.804,-0.048,0.076,-0.018,-4.13,2.5199999999999996,0.0,41.1,47.2
